style,painting
Abstract_Expressionism,arshile-gorky_water-of-the-flowery-mill.jpg
Abstract_Expressionism,willem-de-kooning_fire-island.jpg
Abstract_Expressionism,willem-de-kooning_secretary.jpg
Art_Nouveau_Modern,franz-stuck_wounded-amazon-1904.jpg
Art_Nouveau_Modern,leon-bakst_ida-rubinstein.jpg
Art_Nouveau_Modern,raphael-kirchner_maid-of-athens-1900-6.jpg
Color_Field_Painting,mark-rothko_red-white-and-brown.jpg
Color_Field_Painting,sam-francis_untitled-1964.jpg
Color_Field_Painting,claude-viallat_untitled-no-40-1996.jpg
Early_Renaissance,masaccio_distribution-of-alms-and-death-of-ananias-1425.jpg
Early_Renaissance,bartolome-bermejo_christ-at-the-tomb-supported-by-two-angels-1474.jpg
Early_Renaissance,domenico-ghirlandaio_portrait-of-giovanna-tornabuoni.jpg
Naive_Art_Primitivism,henri-rousseau_the-equatorial-jungle-1909.jpg
Naive_Art_Primitivism,marc-chagall_in-front-of-the-picture-1971.jpg
Naive_Art_Primitivism,grã©goire-michonze_in-the-village-1978.jpg
Northern_Renaissance,petrus-christus_portrait-of-a-male-and-female-donor.jpg
Northern_Renaissance,hans-memling_madonna-and-child-enthroned-with-two-angels-1480.jpg
Northern_Renaissance,martin-schongauer_madonna-of-the-rose-bush.jpg
Realism,ivan-shishkin_forest-landscape-with-stream.jpg
Realism,konstantin-makovsky_cairo-2.jpg
Realism,ivan-vladimirov_in-the-last-journey.jpg
Romanticism,william-turner_east-cowes-castle-the-seat-of-j-nash-esq-the-regatta-beating-to-windward.jpg
Romanticism,louis-janmot_po-me-de-l-me-16-le-vol-de-l-me.jpg
Romanticism,sir-lawrence-alma-tadema_the-massacre-of-the-monks-of-tamond-1855.jpg
Baroque,jacob-jordaens_adoration-of-the-shepherds-1616.jpg
Baroque,artemisia-gentileschi_woman-playing-a-lute.jpg
Baroque,francesco-solimena_triumph-of-charles-iii-at-the-battle-of-velletri.jpg
Cubism,diego-rivera_the-architect-jesus-t-acevedo.jpg
Cubism,roger-bissiã¨re_composition-avec-mandoline-1925.jpg
Cubism,marcel-duchamp_sad-young-man-in-a-train-1911.jpg
Expressionism,egon-schiele_two-girls-lying-entwined-1915.jpg
Expressionism,paul-klee_the-saint-of-inner-light-1921(1).jpg
Expressionism,john-marin_weehawken-sequence-no-30-1916.jpg
Fauvism,hans-hofmann_still-life-interior-1941.jpg
Fauvism,aldemir-martins_marinha-com-sol-e-palmeiras-2003.jpg
Fauvism,endre-bartos_sandy-waterside-at-baja.jpg
High_Renaissance,pietro-perugino_the-ascension-of-christ-1498.jpg
High_Renaissance,raphael_portrait-of-the-young-pietro-bembo-1504.jpg
